"name","title","abstract","catname"
"aerodromes_polygon","Airports (polygon) (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","transportation"
"banks","Banks (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","location"
"main_roads","Main roads (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","transportation"
"police_stations","Police stations (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","intelligenceMilitary"
"tracks","Tracks (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","transportation"
"villages","Villages (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","location"
"helipads","Helipads (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","transportation"
"residential","Residential area (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","location"
"schools_point","Schools and educational facilities (point) (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","structure"
"farms","Farms and farmlands (OSM latest extract)","This data is extracted from the OpenStreetMap database on a daily basis at 12:01 AM Nepal Standard Time (UTC +5:45). The data is automatically filtered into pre-selected feature categories. 
 
OpenStreetMap is a worldwide open geospatial database, roughly equivalent to Wikipedia but for maps. It can be edited, checked and downloaded by anyone agreeing to abide by the terms of the Open Data Commons Open Database License (ODBl). Please note that the dataset is only as complete as the underlying OpenStreetMap database and quality across Nepal may be highly variable.
 
If you feel that the feature categories miss an important subset of data or misrepresent the reality of Nepal, please write to a GeoNode admin explaining the features you’d like to see. If the proposed category appears useful and possible to create we will modify the export automation accordingly. Alternately, you can create your own custom export at export.hotosm.org.
 
All data © OpenStreetMap contributors.
","economy"
